winery,wine_name,year,rating,region,price_euros,vine_type,grape_variety,wine_ageing,service_temperature,quality_price_ratio,luxury_category,cluster_id
Teso La Monja,Tinto,2013,4.9,Toro,995.0,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Artadi,Vina El Pison,2018,4.9,Vino de Espana,313.5,Tinto,Tempranillo,0,16-18°C,0.016,1,0
Vega Sicilia,Unico,2009,4.8,Ribera del Duero,324.95,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Vega Sicilia,Unico,1999,4.8,Ribera del Duero,692.96,Tinto,Tempranillo,0,16-18°C,0.007,1,0
Vega Sicilia,Unico,1996,4.8,Ribera del Duero,778.06,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Vega Sicilia,Unico,1998,4.8,Ribera del Duero,490.0,Tinto,Tempranillo,0,16-18°C,0.01,1,0
Vega Sicilia,Unico,2010,4.8,Ribera del Duero,349.0,Tinto,Tempranillo,0,16-18°C,0.014,1,0
Vega Sicilia,Unico,1995,4.8,Ribera del Duero,810.89,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,Ribera del Duero,345.0,Tinto,Tempranillo,1,16-18°C,0.014,1,0
Vega Sicilia,Unico,2011,4.8,Ribera del Duero,315.0,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,Ribera del Duero,514.85,Tinto,Tempranillo,1,16-18°C,0.009,1,0
Pago de Carraovejas,El Anejon,2016,4.8,Ribera del Duero,105.15,Tinto,Tempranillo,0,16-18°C,0.046,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,Ribera del Duero,430.0,Tinto,Tempranillo,1,16-18°C,0.011,1,0
Vega Sicilia,Unico,1970,4.8,Ribera del Duero,925.0,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Toro Albala,Don PX Convento Seleccion,1946,4.8,Montilla-Moriles,350.0,Generoso,Pedro Ximenez,0,12-14°C,0.014,1,4
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,Ribera del Duero,166.18,Tinto,Tempranillo,0,16-18°C,0.029,1,0
Vega Sicilia,Unico,1962,4.8,Ribera del Duero,1620.0,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,Ribera del Duero,431.36,Tinto,Tempranillo,1,16-18°C,0.011,1,0
Bodegas El Nido,El Nido,2018,4.8,Jumilla,195.627379550654,Tinto,Blend/Other,0,16-18°C,0.025,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,Ribera del Duero,824.43,Tinto,Tempranillo,1,16-18°C,0.006,1,0
Valdespino,Toneles Moscatel,2015,4.8,Jerez-Xeres-Sherry,253.0,Generoso,Blend/Other,0,12-14°C,0.019,1,4
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,Ribera del Duero,570.51,Tinto,Tempranillo,1,16-18°C,0.008,1,0
Dominio de Pingus,Pingus,2016,4.8,Ribera del Duero,1280.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Toro Albala,Don PX Convento Seleccion,1931,4.8,Montilla-Moriles,244.85,Generoso,Pedro Ximenez,0,12-14°C,0.02,1,4
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,Ribera del Duero,719.34,Tinto,Tempranillo,1,16-18°C,0.007,1,0
Vega Sicilia,Unico,1979,4.8,Ribera del Duero,815.0,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Toro Albala,Don PX Pedro Ximenez,1946,4.8,Montilla-Moriles,285.86,Generoso,Pedro Ximenez,0,12-14°C,0.017,1,4
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,Priorato,1410.26,Tinto,Grenache / Carinena,0,16-18°C,0.003,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,Ribera del Duero,813.96,Tinto,Tempranillo,1,16-18°C,0.006,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,Ribera del Duero,435.75,Tinto,Tempranillo,1,16-18°C,0.011,1,0
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,Toro,369.05,Tinto,Tempranillo,0,16-18°C,0.013,1,0
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,Ribera del Duero,1182.77,Tinto,Tempranillo,1,16-18°C,0.004,1,0
Toro Albala,Don PX Convento Seleccion,1929,4.8,Montilla-Moriles,227.95,Generoso,Pedro Ximenez,0,12-14°C,0.021,1,4
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,Ribera del Duero,999.0,Tinto,Tempranillo,1,16-18°C,0.005,1,0
